"project-key","project-name","repo","url","last-commit-date","repo-size-in-bytes","activity-status"
"BBSMIG","bbs-migration-demo","calotracker","http://20.84.89.88:7990/scm/bbsmig/calotracker.git","2026-01-13 10:02 AM","0","Active"
"BBSMIG","bbs-migration-demo","lab8","http://20.84.89.88:7990/scm/bbsmig/lab8.git","","0","Empty"
"BBSMIG","bbs-migration-demo","MavenHelloWorld","http://20.84.89.88:7990/scm/bbsmig/mavenhelloworld.git","2025-12-08 10:16 AM","0","Active"
"BBSMIG","bbs-migration-demo","solar-system","http://20.84.89.88:7990/scm/bbsmig/solar-system.git","2025-09-08 10:23 AM","0","Stale"
"BBSMIG","bbs-migration-demo","solid-api","http://20.84.89.88:7990/scm/bbsmig/solid-api.git","2025-12-18 11:58 AM","0","Active"
"BBSMIG","bbs-migration-demo","test-feb9","http://20.84.89.88:7990/scm/bbsmig/test-feb9.git","","0","Empty"
"BBSMIG","bbs-migration-demo","Test21","http://20.84.89.88:7990/scm/bbsmig/test21.git","2025-12-10 07:00 AM","0","Active"
"BBSMIG","bbs-migration-demo","voting_app","http://20.84.89.88:7990/scm/bbsmig/voting_app.git","","0","Empty"
"TESTB","test1","repo3","http://20.84.89.88:7990/scm/testb/repo3.git","","0","Empty"
"TESTB","test1","repo4","http://20.84.89.88:7990/scm/testb/repo4.git","","0","Empty"
"TEST","test2","repo1","http://20.84.89.88:7990/scm/test/repo1.git","","0","Empty"
"TEST","test2","repo2","http://20.84.89.88:7990/scm/test/repo2.git","","0","Empty"
